ens_gene	peak_counts	exon_counts
ENSG00000000005	5	0
ENSG00000000457	4	0
ENSG00000000460	14	0
ENSG00000000938	1	2
ENSG00000001036	3	0
ENSG00000001561	1	0
ENSG00000001626	3	0
ENSG00000001629	10	0
ENSG00000001631	13	9
ENSG00000002016	22	0
ENSG00000002079	10	4
ENSG00000002746	3	0
ENSG00000002822	6	0
ENSG00000003096	3	3
ENSG00000003147	4	2
ENSG00000003393	5	1
ENSG00000003400	3	0
ENSG00000003402	1	1
ENSG00000003436	5	1
ENSG00000003509	1	1
ENSG00000003756	2	0
ENSG00000003987	3	0
ENSG00000003989	5	0
ENSG00000004399	2	1
ENSG00000004455	2	0
ENSG00000004534	6	0
ENSG00000004766	26	2
ENSG00000004779	2	0
ENSG00000004809	5	0
ENSG00000004848	1	0
ENSG00000004864	19	0
ENSG00000004897	9	7
ENSG00000004939	2	5
ENSG00000004948	15	0
ENSG00000005020	23	0
ENSG00000005059	3	0
ENSG00000005102	3	0
ENSG00000005187	2	0
ENSG00000005189	10	1
ENSG00000005249	14	0
ENSG00000005339	13	2
ENSG00000005471	5	0
ENSG00000005483	2	0
ENSG00000005801	4	1
ENSG00000005810	1	0
ENSG00000005889	5	0
ENSG00000006007	4	0
ENSG00000006062	1	0
ENSG00000006071	7	4
ENSG00000006125	5	1
ENSG00000006128	1	0
ENSG00000006194	2	0
ENSG00000006432	1	0
ENSG00000006451	9	0
ENSG00000006459	2	4
ENSG00000006468	1	0
ENSG00000006530	1	0
ENSG00000006607	2	0
ENSG00000006652	5	0
ENSG00000006695	2	0
ENSG00000006712	1	4
ENSG00000006715	9	0
ENSG00000006740	1	0
ENSG00000006831	4	0
ENSG00000006837	5	3
ENSG00000007038	1	4
ENSG00000007047	2	0
ENSG00000007062	1	0
ENSG00000007168	1	0
ENSG00000007171	3	0
ENSG00000007174	18	1
ENSG00000007216	2	0
ENSG00000007255	1	0
ENSG00000007314	1	0
ENSG00000007350	4	0
ENSG00000007372	1	1
ENSG00000007392	1	1
ENSG00000007402	1	0
ENSG00000007541	1	0
ENSG00000007545	1	2
ENSG00000007908	2	1
